Job,Education
"['Cloud Consultant', 'Web Technology Specialist', 'Sviluppo Software - Internship', 'Sviluppatore Web']","['Laurea Magistrale', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica', 'Corso Maxi Informatico, corso sperimentale con potenziamento in matematica e informatica.']"
"['Professional Software Developer', 'Ingegnere informatico', 'Studente tirocinante', 'Studente tirocinante', 'Dirigente', 'Studente tirocinante']","['Laurea Magistrale', 'Ingegneria informatica', '110L', 'Laurea Triennale', 'Ingegneria informatica', '108/110', 'Diploma Scuola Superiore', 'Informatica', '98/100']"
"['Senior ICT Consultant', 'Senior ICT Consultant', 'R&D ICT Consultant', 'ICT Consultant', 'ICT Consultant']","['Maturità scientifica tecnologica', 'Laurea specialistica', 'Ingegneria Informatica']"
"['Sviluppatore Web', 'Specialista informatico']","['Laurea triennale', 'Ingegneria informatica', 'Diploma', 'Liceo Scientifico opzione Scienze Applicate']"
['Full-stack Developer'],"['Laurea Magistrale LM in Ingegneria Informatica', 'Ingegneria informatica', '110/110 e Lode', 'Laurea Triennale in Ingegneria Informatica', 'Ingegneria informatica', 'Diploma', 'Liceo Classico', '81/100']"
"['Backend & Frontend JavaFX Developer', 'Tecnico-educatore di nuoto ed Educatore Zerosei', 'Tecnico-educatore di nuoto e Educatore Zerosei', 'Tecnico-educatore di nuoto e Bagnino']","['Laurea Magistrale', 'Ingegneria Informatica', 'Laurea Triennale', 'Ingegneria informatica', 'Perito Aziendale corrispondente in Lingue Estere']"
['Sviluppatore Web'],"['Laurea Magistrale in ingegneria informatica', 'Laurea Magistrale in ingegneria informatica']"
"['Junior Engineer Backend', 'IT Consultant', 'System Engineer', 'Studente tirocinante']","['Ingegneria Informatica', 'Ingegneria informatica', '107', 'Laurea triennale', 'Ingegneria informatica', 'Diploma']"
"['IT Consultant', 'Master Thesis & Internship']","['Laurea triennale', 'Ingegneria informatica', 'Laurea Magistrale  LM', 'Ingegneria informatica']"
['Consultant'],"['Laurea Magistrale  LM', 'Ingegneria informatica', '110L', 'Laurea triennale', 'Ingegneria informatica']"
"['Mediatrice Linguistico - Culturale (Inglese)', 'Stage']","['Scienze politiche sociali e internazionali', 'Scienze Politiche', 'IB - International Baccalaureate']"
"['Rappresentante degli studenti', 'Sviluppatore Web Junior']","['Laurea triennale', 'Ingegneria informatica', 'Diploma Istituto Tecnico e Professionale', 'Informatica e Telecomunicazioni - Articolazione Informatica', 'Scienze Applicate - Indirizzo Informatica', 'Composizione', 'Chitarra Rock-Blues']"
"['Sviluppatore Android', 'Frontend Developer', 'Sviluppatore App', 'Stage studentesco', 'Istruttore', 'Studente', 'Studente', 'Studente']","['Laurea magistrale', 'Ingegneria informatica', '110L', 'Laurea triennale', 'Ingegneria informatica', 'Maturità scientifica']"
"['Sviluppatore di software', 'Sviluppatore di software']","['Laurea magistrale LM in ingegneria informatica', 'Ingegneria informatica', 'Laurea triennale in Ingegneria e Scienze  informatiche', 'Ingegneria informatica']"
"['Progettista software', 'Tutor del Corso di Studi in Ingegneria Informatica Magistrale', 'Tutor del Corso di Studi in Ingegneria Informatica', 'Programmatore software', 'Programmatore software', 'Programmatore software']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110/110 con Lode', 'Laurea Triennale', 'Ingegneria informatica', '108/110', 'Diploma Istituto Tecnico e Professionale', 'Amministrazione, finanza e marketing articolazione Sistemi Informativi Aziendali', '100/100']"
"[""Intern for Master's Thesis"", 'Software Developer in Cyber Security']","[""Master's degree"", 'Computer Engineering', ""Bachelor's degree"", 'Computer Engineering', '102']"
['Sviluppatore di software'],"['Laurea magistrale LM', 'Ingegneria informatica', 'Laurea in Ingegneria Informatica', 'Ingegneria informatica']"
['Software Developer'],"['Laurea triennale', 'Ingegneria e scienze informatiche', '86', 'Laurea Magistrale', 'Scienze e tecnologie alimentari', '108']"
['Sviluppatore Web IT'],"['Laurea Magistrale LM in Ingegneria e Scienze Informatiche', 'Ingegneria e Scienze Informatiche', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Informatica Per Il Management', 'Diploma Istituto Tecnico', 'Elettronica']"
"['Software Developer', 'Junior Software Developer']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '97/100', 'Perito informatico']"
"['Mobile Developer', 'Tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '98/110', 'Scienze e Tecnologie Informatiche', 'Scienze informatiche']"
"['Programme coordinator', 'Projects Manager', 'Responsible Master MIREES Secretary']","['Laurea in Scienze Internazionali e Diplomatiche', 'Facoltà di Scienze Politiche ""R. Ruffilli""']"
"['Sviluppatore Web', 'Studente tirocinante', 'Fattorino']","['Laurea Magistrale  LM  in scienze e tecnologie informatiche', 'Ingegneria e scienze informatiche LM', 'Laurea L in Scienze e Tecnologie Informatiche', 'Ingegneria e scienze informatiche', '81/110', 'Diploma Istituto Tecnico e Professionale', 'Ragioniere perito informatico', '66/100', '1° ciclo -  Laurea L', 'Corno Francese']"
"['Mobile Software Engineer', 'Software Engineer Intern', 'First Ascent Italy 2019 Attendee', 'Software Engineer', 'Software Engineer Intern']","[""Master's degree student"", 'Magistrale di Ingegneria e Scienze Informatiche', '//TODO fix later', ""Bachelor's degree"", 'Ingegneria e Scienze Informatiche', '110/110 with Honors']"
"['Developer, Tester & Product Specialist']","['Laurea Magistrale', 'Ingegneria e Scienze Informatiche', '105/110', 'Laurea', 'Scienze e Tecnologie Informatiche', '106/110']"
"['Consulente informatico', 'Cassiere vendite']","['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea', 'Ingegneria e Scienze informatiche', 'Laurea Triennale', 'Ingegneria e Scienze Informatiche']"
"['Junior Data Analyst', 'Università di Bologna', 'Tutor didattico', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110 e lode', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '110 e lode', 'Diploma di Maturità', '100']"
"['Consulente junior', 'Content Writer', 'Tirocinante estivo', 'Tirocinante estivo', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110 e Lode', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '95/110', 'Diploma', 'Sistemi Informativi Aziendali', '100/100']"
"['ICONSULTING', 'Analista Programmatore', 'Tirocinante estivo']","['Laurea Magistrale in Ingegneria e Scienze Informatiche', 'Ingegneria e Scienze Informatiche', '90', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Scienze informatiche', '95/110', 'Perito Industriale Capotecnico', 'Informatica', '76/100']"
['Junior Software Developer'],"['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche, Campus di Cesena', '97/110', 'Laurea triennale', 'Scienze e tecnologie informatiche, Campus di Cesena', '95/110', 'Diploma']"
['commercialista'],['Scienze politiche']
['IT Consultant'],"['Laurea Magistrale', 'Artificial Intelligence', 'Scienze informatiche', '109/110']"
['Sviluppatore software IT'],"['Laurea Magistrale  LM', 'Ingegneria e scienze informatiche', 'Laurea triennale', 'Ingegneria e scienze informatiche', '90']"
"['ANTREEM', 'Tirocinio curricolare']","['Laurea magistrale LM', 'Ingegneria e Scienze Informatiche', '110/110 e lode', 'Laurea triennale', 'Ingegneria e Scienze informatiche', '110/110 e lode', 'Diploma di scuola superiore', 'Perito elettronico', '100/100 e Lode']"
"['Software Engineer', 'Magazziniere', 'Impiegato Ufficio Protocollo', 'Impiegato in ufficio']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', 'Diploma Istituto Tecnico e Professionale', 'Ragioneria - Sistemi Informativi Aziendali']"
"['analista programmatore', 'Liceo Vincenzo Monti Cesena', 'stagista', 'Docente per corsi di recupero']","['Laurea Magistrale  LM', 'ingegneria e scienze informatiche', '106', 'Laurea Magistrale in Matematica', 'Matematica', '105/110', 'Laurea Magistrale  LM', 'Matematica', '105']"
['Software Engineer'],"['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110L', 'Laurea', 'Ingegneria e Scienza Informatiche', '105']"
"['Software Engineer', 'Professor', 'Docente a contratto', 'Professore', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria e scienze informatiche', '110/110 e lode', 'Computer Science and Engineering', 'Ingegneria e scienze informatiche', 'Ingegneria informatica', '107/110']"
['Flutter Software Engineer'],"['Laurea Magistrale  LM', 'Ingegneria e scienze Informatiche', '110 e lode']"
"['Full Stack Engineer', 'Sviluppatore web fullstack freelance', 'IT Consultant', 'Full Stack Engineer', 'Co Founder']","['Laurea Magistrale  LM  in scienze e tecnologie informatiche', '110 e Lode', 'Laurea triennale', 'Scienze informatiche']"
"['Junior Data Analyst', 'Web Game designer', 'R&D Trainee']","[""Master's degree"", 'Ingegneria e scienze informatiche', ""Bachelor's degree"", 'Informatica Applicata', '110 with honors', 'Sistemi informativi aziendali', '100']"
"['Gestore Corporate senior', 'Certified Life Coach', 'SENIOR CORPORATE', 'resp comm.le ER', 'credit manager']",['Scienze politiche']
"['Software Engineer', 'Sviluppatore software', 'Promoter Epson', 'Steward']","['Laura magistrale', 'Ingegneria e scienze informatiche', 'Erasmus Plus', 'Laurea triennale', 'Informatica']"
"['Data Science Analyst', 'Software Engineer', 'Intern']","[""Master's degree"", 'Computer Science', '(110L)', ""Bachelor's degree"", 'Computer Science', '104/110', 'High School Diploma', '100']"
"['IT Specialist', 'Cameriera', 'Assistant Web Developer', 'Facilitatore']","['Laurea triennale', 'Ingegneria e Scienze Informatiche', '91/110', 'Perito informatico', 'Informatica', '79/100']"
"['Software Engineer', 'Software Engineer', 'Arbitro di calcio', 'Software Engineer', 'Internship Trainee']","['Laurea Magistrale in Ingegneria Informatica', 'Ingegneria informatica', '105/110', 'Laurea breve in Scienze e Tecnologie Informatiche', 'Ingegneria', 'Informatica', '75/100']"
"['Full Stack Developer', 'Consulente informatico', 'Sviluppatore Web']","['Dottore in Ingegneria e Scienze Informatiche', 'Tecnologie e scienze informatiche', '94']"
['Back-end Developer'],"['Laurea triennale', 'Ingegneria scienze informatiche']"
['Software Engineer'],"['Laurea Magistrale  LM', 'Ingegneria informatica', '110L', 'Laurea triennale', 'Scienze informatiche', '110L']"
"['Full-stack Developer', 'Full-stack Developer and Software Engineer']","['Laurea Magistrale  LM', 'Ingegneria e scienze informatiche', 'Laurea triennale', 'Ingegneria e scienze informatiche', '100']"
"['Software Developer', 'Software Engineer']","['Laurea Magistrale LM in Ingegneria e Scienze Informatiche', 'Ingegneria e Scienze Informatiche', 'laurea breve in ingegneria e scienze informatiche', 'Ingegneria informatica']"
"['Modis', 'Tirocinio Formativo']","['Laurea', 'Scienze informatiche', '102/110']"
"['Programme coordinator', 'Projects Manager', 'Responsible Master MIREES Secretary']","['Laurea in Scienze Internazionali e Diplomatiche', 'Facoltà di Scienze Politiche ""R. Ruffilli""']"
['Programmatore software'],"['Laurea Magistrale  LM', 'Informatica', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '92', 'Ragioniere', 'Sistemi Informativi Aziendali', '98']"
"['DevOps Consultant', 'Systems Engineer', 'CED Employee']","['Laura magistrale', 'Ingegneria informatica', 'Laurea breve in Scienze e Tecnologie Informatiche', 'Ingegneria informatica', '99']"
"['Programmatore Web', 'Studente tirocinante', 'Studente tirocinante', 'Studente tirocinante']","['Laurea Magistrale  LM  in scienze e tecnologie informatiche', 'Ingegneria informatica', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Scienze informatiche', 'Ragioniere perito Commerciale e Programmatore', 'Ragioneria']"
['Java Software Engineer'],"['Ingegneria e scienze informatiche', 'Ingegneria informatica']"
"['Software Engineer', 'Software Engineer', 'Software Engineer', 'Software Engineer', 'Software Engineer']","['Laurea', 'Ingegneria informatica', '97/100', 'Diploma', 'Informatica']"
"['Sviluppatore Web', 'Sviluppatore Web']","['Laurea in Tecnologie e Scienze Informatiche', 'Informatica', 'Laurea magistrale', 'Ingegneria e scienze informatiche']"
"['Software Engineer', 'Studente tirocinante']","['Laurea Magistrale', 'Ingegneria e Scienze Informatiche', '110/110 con lode', 'Laurea', 'Ingegneria e Scienze Informatiche', '110/110 con lode', 'Diploma', 'Informatica', '100/100']"
"['Full Stack Engineer', 'Studente tirocinante', 'Collaboratrice - addetta alla sala', 'Docente per il corso di Coding nella scuola secondaria', 'Associazione Studentesca S.P.R.I.Te']","['Laurea Magistrale in Ingegneria e Scienze Informatiche', '110 e lode', 'Laurea triennale in Ingegneria e Scienze Informatiche', 'Scienze informatiche', 'Diploma Scuola Secondaria di II Grado', 'Liceo Sociopsicopedagogico']"
"['Software Engineer', 'Insegnante di chitarra']","['Laurea Magistrale', 'Ingegneria e Scienze Informatiche', '110 e lode', 'Laurea triennale', 'Ingegneria e Scienze Informatiche', '110 e lode']"
"['Cyber Security Consultant', 'IT Collaborator', 'Software Developer']","['Laurea Magistrale', 'Ingegneria e scienze informatiche', 'Laurea triennale', 'Ingegneria e scienze informatiche', 'Diploma Scuola Secondaria di II Grado', 'Ragioniere programmatore']"
"['Sales Manager', 'Sales developer', 'Responsabile Area Espansione']","['Scienze Politiche', 'Politiche sociali e Politiche sanitarie (Laurea Magistrale)', 'Scienze Politiche', 'Scienze Criminologiche per la sicurezza (Laurea triennale)']"
"['Junior Software Engineer', 'Tutor Didattico CDLM Ingegneria e Scienze Informatiche']","['Laurea Magistrale  LM', 'Ingegneria e Scienze Informatiche', '110 e Lode', 'Laurea Triennale', 'Ingegneria e Scienze Informatiche']"
"['Software Engineer', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria informatica', '108/110', 'Laurea triennale', 'Ingegneria informatica', '100/110']"
"['Sviluppatore', 'Sviluppatore', 'Tirocinante sviluppatore applicazioni mobile iOS']","['Laurea Magistrale  LM', 'Ingegneria informatica']"
"['Software Developer', 'Performance Management & BI Consultant', 'Sviluppatore web', 'Programmatore', 'Programmatore']","['Dottore in Scienze e Tecnologie Informatiche', 'Informatica', ""Dottore in Scienze dell'informazione"", 'Informatica', ""Laurea Triennale in Scienze dell'Informazione"", 'Informatica']"
"['Assistant Web Developer', 'Receptionist hotel', 'Tecnical Marketing manager', 'Food Deliverer']","['1° ciclo -  Laurea L', 'Ingegneria e scienze informatiche']"
"['Sviluppatore Software', 'Creatore di contenuti online', 'Programmatore informatico', 'Stagista', 'Stagista']","['Laurea in Informatica', 'Informatica', '103', 'Matematica', 'Perito Informatico', 'Diploma di Perito Informatico', '100/100']"
['IT Consultant'],"['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica']"
"['Junior Research Assistant', 'Sviluppatore']","['Laurea', 'Ingegneria e scienze informatiche', '95/100', 'Licenza Media', 'Indirizzo musicale: pianoforte']"
['Software Developer'],"['Laurea Magistrale  LM', 'Intelligenza artificiale', 'Laurea breve in Scienze e Tecnologie Informatiche', 'Informatica per il management', 'Diploma']"
"['Programmatore Web', 'Arbitro di calcio', ""Team lead nell'organizzazione di competizioni sportive""]","['Laurea in Informatica', 'Informatica', 'Diploma']"
"['Educatrice professionale, mediatrice interculterale, formazione in Pari opportunità', 'Laureato']",['Laurea in Scienze Politiche; Laurea in Scienze della Formazione']
['imprenditore'],['Scienze politiche e governo']
"['Imola Informatica', 'Specialista in servizi alla persona']","['Ingegneria informatica', 'Maturità', 'Scienze naturali']"
['HR Organizational Development and Training'],"['Corso di laurea triennale in Scienze Politiche, Sociali e Internazionali', 'Percorso Integrato Università e Impresa (PIL)', '110 e lode/110', 'Diploma', 'Liceo linguistico', '92/100']"
"['Redattore', 'Assistente alle vendite', 'Responsabile amministrazione', 'Assistente comunicazione marketing']","['Laurea magistrale', 'Comunicazione pubblica e di impresa', '110L', 'Laurea triennale', 'Scienze Politiche e delle Relazioni Internazionali']"
"['Digital Advisor', 'Digital Strategist Intern']","['Laurea triennale in Scienze della Comunicazione', '1° ciclo -  Laurea L', 'Comunicazione e Digital Media']"
