Job,Education
"['Logistica', 'Operatore Socio Sanitario', 'Operatore Call Center', 'Operatore Call Center']","['Laurea Magistrale in Italianistica, Culture Letterarie Europee, Scienze Linguistiche', 'Laurea in Scienze della Comunicazione', 'Corso Privato  di Inglese accreditato dal Ministero della Pubblica Istruzione', 'Certificazione Livello B2 presso Anglo American School Bologna']"
"['Campaign Specialist', 'Responsabile del Coordinamento Social', 'Corporate Communication', 'Social Work', 'Social media manager']","['Laurea Magistrale  LM', ""Pubblicità, comunicazione digitale e creatività d'impresa"", '106', 'Laurea triennale', 'Scienze della Comunicazione', '104']"
"['Assistente web marketing', 'Cameriera', 'Social media manager', 'Assistente comunicazione marketing', 'Content creator']","['Laurea Magistrale', ""COMUNICAZIONE PUBBLICA E D'IMPRESA"", '105/110', 'Laurea Triennale in Scienze Politiche, Studi Internazionali, Governo delle Amministrazioni']"
"['Junior Social Media Specialist', 'Assistente alle vendite', 'Runner', 'Sales Assistant']","['Scienze della Comunicazione', 'Scienze della Comunicazione', 'Diploma', 'Ragioniere - Perito commerciale e Programmatore', '97/100']"
"['Retail Area manager', 'KIKO MILANO']","['Laurea magistrale in scienze della comunicazione', ""Scienze della comunicazione e dell''informazione""]"
['Assistant Content Manager'],"['Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '99', 'Laurea magistrale', ""Comunicazione giornalistica, pubblica e d'impresa"", 'Diploma', 'Scienze Umane', '90']"
"['Front office Urp e Ufficio tirocini della Scuola di Economia', 'Rilevatrice', 'Aggiornamento archivio bibliografico on line e sito internet']","['Master in Marketing, Comunicazione e Nuove Professioni Digitali', 'Laurea Magistrale', 'Facoltà di Lettere e Filosofia', 'Institut des études éuropéeness (IEE)', 'Erasmus']"
"['Marketing Manager', 'Marketing Manager, Strategic Accounts', 'Specialist, Marketing Regional EMEA', 'Marketing Coordinator', 'Board Member and co-founder']","['Master Degree in Economics and Market Policy', 'School of Economics, Management and Statistics , Rimini Campus', 'Bachelor in International Relations and Diplomatic Affairs', 'Political and Social Sciences', 'International Relations', 'Erasmus program, Finland']"
"['Tecnico della comunicazione-informazione', 'Marketing and Social Media Analytics', 'Bar Staff', 'Assistente comunicazione marketing', 'Addetta alle vendite']","['Comunicazione pubblica e di impresa', '108', 'Culture e tecniche della moda', '110 e lode']"
"['Co-Founder e Project Manager', 'Tutor Didattico', 'Blogger', 'Trainership', 'Blogger e community engagement']","['Laurea Magistrale', 'Scienze della Comunicazione Pubblica e Sociale', 'Laurea triennale in Scienze Politiche', 'Sociologia', 'Diploma di Maturità Scientifica', 'Liceo Enrico Fermi Bologna']"
"['Copywriter - content & community manager', 'Copywriter junior', 'Copywriter / strategist (Stage)', 'Stage curriculare']","['Laurea specialistica in Scienze della comunicazione pubblica e sociale', '(scienze della comunicazione pubblica, di impresa e pubblicità)', '110', 'Lurea triennale in Sociologia', 'Scienze politiche', '106']"
"['Sales Assistant', 'Web content creator', 'Accounting, HR, New business', 'Efesti srl']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea triennale', 'Scienze della Comunicazione']"
"[""Assistente all'Organizzazione"", 'Social Media Manager']","['Corso di Master di 1° livello', 'Imprenditoria dello Spettacolo', 'Laurea Magistrale  LM in Arti Figurative, Musica, Spettacolo e Moda', 'Discipline del Teatro', '110L/110', '1°\xa0livello - Laurea L', 'scienze della comunicazione', '105/110']"
"['Consulente per le comunicazioni di marketing', 'Docente', 'Docente a contratto', 'Formatore', 'Istruttore di nuoto']","['Scienze della comunicazione Pubblica, Politica e Sociale', ""Scienze della comunicazione e dell'informazione"", '107/110', 'Laurea Specialistica in Comunicazione Pubblica Politica e Sociale', ""Scienze della comunicazione e dell''informazione""]"
"['Copywriter', 'Senior copywriter', 'Copywriter, Blogger, Digital & Social Strategy', 'Copywriter, Blogger', 'Copywriter, Blogger']","['Laurea in Scienze della comunicazione', 'Scienze della comunicazione', 'Master in Social Media Marketing']"
"['Ufficio stampa e comunicazione Azienda Usl di Bologna', 'Responsabile Ufficio stampa e comunicazione Ordine Professioni infermieristiche di Bologna', 'Collaboratore esterno', 'Attività in Assif - Gruppo Territoriale Emilia Romagna', 'BSR di II livello per lo sviluppo del Progetto di rete Ministeriale sulla stewardship antimicrobica']","['Master in Fundraising per ONP ed enti pubblici', 'sede di Forlì', 'Comunicazione Pubblica Sociale e di Impresa', 'Lettere/Studi umanistici', '110 e lode', 'Sociologia', ""Scienze della comunicazione e dell'informazione"", '110 e lode']"
"['Addetto ufficio marketing', 'Blogger', 'Steward', 'Communication Manager', 'Senior Fan Journalist']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea in Scienze della Comunicazione']"
"['Ambassador', 'Salesperson', 'Salesperson']","['Double Degree in International Business Development', ""Master's Degree in Economics and Management"", 'Business and Administration', 'Bachelor of Science - BS', 'Economics', '100/110', 'Internship', '""English Language and  Management Study Programme”']"
"['HR Recruiter', 'Redattore e Social media manager', 'Retail assistant', 'Studente tirocinante', 'Hostess']","['Laurea Magistrale  LM', 'Comunicazione pubblica e di impresa', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '100/110', 'Diploma di maturità', 'Scienze Umane', '98/100']"
['Azienda USL di Bologna'],"['Scienze della Comunicazione, Pubblica, Politica e Sociale', ""Scienze della comunicazione e dell'\u200b'informazione"", '108', 'Scienze Politiche', 'Politico Sociale (Sociologia)', '110 e lode']"
"['Responsabile ufficio stampa, comunicazione ed eventi', 'Redattrice', 'Redattrice']","['Laurea magistrale in scienze della comunicazione', 'comunicazione,semiotica, sociologia, economia, diritto, filosofia, storia, antropologia', '110/110']"
"['Marketing e Comunicazione', 'Senior account executive', 'Fundraiser']","['Laurea in Scienze della Comunicazione Pubblica e Sociale', 'Laurea in Lettere Moderne']"
"['Data Analyst', 'Communication Officer', 'PHD Fellow', 'Tutor', 'Giornalista freelance']","['Laurea Magistrale  LM', 'Semiotica', '110L', 'Master', 'Heritage and Memory Theory/Museums studies', 'Laurea triennale', 'Scienze della Comunicazione', '110L']"
"['3 restaurants', 'Internal Communications Specialist', 'Internationalization Tutor', 'Photojournalist']","['Laurea Magistrale  LM', 'Scienze della comunicazione pubblica, sociale e d’impresa', '110 with laude', 'Laurea Magistrale  LM', 'Teoria e tecnologia della comunicazione', 'Giornalismo e psicologia della comunicazione']"
"['Junior Social media manager', 'Hostess', 'Junior Recruiter - Divisione Fashion/Retail']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea breve', '110 e Lode', 'Diploma', 'Scienze Umane e Comunicazione', '94/100']"
"['Giornalista', 'Speaker ospite', 'Guida turistica']","[""Scienze della comunicazione e dell''informazione""]"
"['Demetra Formazione', 'Tirocinante ufficio stampa', 'Redattore']","['Laurea Magistrale  LM', 'Giornalismo e cultura editoriale', '110 e lode', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione"", '97/110', 'Maturità classica']"
"['Copywriter', 'Copywriter junior', 'Junior Creative']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea triennale', 'Scienze della Comunicazione']"
"['Research Intern', 'Pollster for the political elections of the Metropolitan City of Bologna']","['MA', 'Joint degree, Università di Bologna', 'Joint MA mobility (Erasmus+ Study)', 'Russian, Central European, East European and Eurasian Studies', 'Erasmus+ Study', 'European Studies', 'Laurea triennale in Scienze Politiche, Sociali e Internazionali']"
"['Web Content Editor', 'Web Content Editor', 'Giornalista', 'Web Content Editor']","['Laurea Magistrale  LM', 'Semiotica', 'Laurea triennale', ""Scienze della comunicazione e dell''informazione""]"
"['Docente di Italiano L2', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Lingua e cultura italiane per stranieri', 'School of Arts (Italian, English and Russian Literature)', 'Laurea triennale', 'Lingue, civiltà e scienze del linguaggio', '106/110']"
"['Specialista vendite e servizi', 'Assistente di ufficio']","['Lingue, letterature e linguistica straniere', 'Laurea triennale', 'Economia aziendale/manageriale']"
"['Insegnate privato', 'Tour operator']","['laurea in lingue e culture straniere moderne', 'lingue e culture italiane per stranieri', 'Corso 24 cfu', 'in discipline antropo-psico-pedagogiche e metodologie e tecnologie didattiche', 'Laurea triennale', 'Culture e lingue straniere moderne']"
"['Assistente di lingua italiana', 'Adjunct project manager', ""Tutor per l'internazionalizzazione, Area Relazioni Internazionali - Area geografica 2"", 'Traduttore', 'Tutor accademico, Dipartimento di Interpretazione e Traduzione (DIT)']","['Master', 'Global Marketing, Comunicazione & Made in Italy', 'Laurea Magistrale  LM', 'Language, Society and Communication', '110 /110, con lode', 'Laurea', 'Lingue e letterature straniere', '110 /110, con lode']"
"['Receptionist front desk', 'Receptionist front desk']","['Laurea triennale', 'Lingue e letterature straniere, generale', 'EsaBac - doppio diploma italo-francese', 'Turismo', '20/20, 100/100']"
"['Segretaria', 'Coccinelle']","['Laurea triennale', 'Lingue, letterature e linguistica straniere']"
"['Responsabile vendite', 'Tirocinante estivo', 'Dipendente addetto alle vendite', 'Cassiere', 'Receptionist']","['Laurea Magistrale  LM', 'Letterature moderne comparate e postcoloniali', '104/110', 'Laurea triennale', 'Lingue e letterature straniere, generale', '92/110']"
"['Hostess per eventi e assistenza linguistica', 'Interprete di conferenza', 'Interprete di trattativa italiano <> francese', 'Hostess per eventi', 'Traduttore']","['Laurea Magistrale  LM', 'Interpretazione di conferenza', 'Laurea triennale', 'Mediazione linguistica e interculturale (exSSLMIT)', '110/110', 'Interpretazione e traduzione']"
"['Insegnante di lingua italiana', 'Datalogic', 'insegnante di lingua e letteratura italiana', 'Insegnante di italiano L2', 'Insegnante di italiano L2']","['Ditals di II livello', ""certificazione per l'insegnamento dell'italiano a stranieri"", '71/100', 'Dottorato in letteratura comparata e traduzione del testo letterario', 'Scuola di dottorato', 'ottimo', 'Lettere', '110 e lode']"
"['Ricercatore', 'Associate (socio fondatore)', 'Free-lance as editor/publisher graphic', 'Publishing consultant and director of book series ""Libera la Ricerca"" and ""Odoya RealFiction""', 'Post-Doctoral fellow (assegnista)', 'Research fellow', 'Tutor in ""Sociology of political phenomenon""', 'Editor']","['Phd in ""Europa e Americhe: Costituzioni, Dottrine e Istituzioni Politiche""', 'History of political thought - Political sociology', 'Political sciences', 'History of political thought', '1 year abroad', 'Political and international sciences', '1999', 'Maturità scientifica']"
"['Tutor didattico - Dipartimento di Lingue, Letterature e Culture Moderne', ""Tutor per l'orientamento in ingresso - Corso di Laurea in DAMS (Dipartimento delle Arti)"", ""Tutor per l'orientamento in ingresso - Dipartimento di Lingue, Letterature e Culture Moderne"", 'Insegnante di materie umanistiche', 'Insegnante di Filosofia']","['Laurea magistrale in Musicologia e beni musicali', 'CdLM in Discipline della Musica e del Teatro - Curriculum Discipline della Musica', '110/110 e Lode', 'Laurea magistrale in Scienze Filosofiche', 'CdLM in Scienze Filosofiche', '110/110 e Lode', 'Laurea in Filosofia', 'CdL in Filosofia', '110/110 e Lode']"
"['Social media manager', 'Studente tirocinante', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Lingue, letterature e linguistica slave, generale', '110 e lode', 'Laurea triennale', 'Lingue e letterature straniere, generale', '108']"
['Correttore di bozze'],"['Russian as a Foreign Language', 'A', 'Laurea Magistrale  LM', 'Letterature moderne, comparate e postcoloniali', '110 e lode', 'Arts, Humanities and Social Sciences', 'A']"
"['Marketing diretto per Associazioni Umanitarie', 'Banconiera', 'Tirocinio ufficio tecnico']","['Laurea Magistrale  LM', 'Language Society and Communication', ""Bachelor's degree"", 'English Language and Literature/Letters', 'Laurea triennale', 'Lingue e Culture Europee', '110/L']"
"['docente di lingue', 'Tutor, professore a contratto', 'English, Spanish and Italian teacher', 'English, Italian teacher, teacher trainer', 'Assistente di lingue']","[""abilitazione all'insegnamento - TFA - postgraduate teacher training"", 'teaching Spanish to high schools', '95/100', ""abilitazione all' insegnamento  (SSIS) - postgraduate teacher training"", 'English teaching to high schools', '78/80', 'Laurea magistrale LM in lingue moderne - Master degree in modern languages (English-Spanish)', 'Lingue e letterature straniere, generale', '110/110']"
"['Insegnante di Lingua Italiana L2', 'Receptionist', 'Collaboratrice organizzativa presso Ufficio Esami di Stato']","['Laurea Magistrale  LM in Italianistica, culture letterarie europee, scienze linguistiche', 'Linguistica', '110/110 con lode', 'Laurea triennale in Lettere moderne', 'Lettere/Studi umanistici', '103/110', 'Diploma linguistico', 'Indirizzo linguistico internazionale opzione Spagnolo']"
"['Alma Mater Studiorum - Università di Bologna', 'Customer Service Agent', 'Traduttrice']","['LM-39 Linguistica', 'Lingua e cultura italiane per stranieri', 'Erasmus+ Studio', 'Linguistics', 'Laurea triennale', 'Lingue, mercati e culture dell’Asia 110L', '110/110 con lode']"
"['Commerciale', 'Programma di tirocinio']","['Laurea triennale in', 'Lingue e letterature straniere, generale']"
"['Export sales assistant - Back office employee', 'Stagista redazione', 'Alma Mater Studiorum - Università di Bologna', 'Babysitter', 'Insegnamento della lingua italiana agli stranieri']","['Laurea Magistrale  LM', 'Letterature moderne, comparate e postcoloniali', '108/110', 'Laurea triennale', 'Mediazione linguistica- Italiano come lingua seconda (L-12)', '107/110', 'Diploma di Maturità']"
"['Interprete Italiano-Giapponese', 'Docente di Lingua Giapponese', 'Docente di Lingua Giapponese', 'Interprete', 'Traduttrice']","['Lingue e Letterature Straniere', 'Lingue e Letterature Straniere', '110/110 con lode', 'Letteratura', 'Letteratura inglese e americana - Linguistica']"
"['Front Office Agent', 'Rickshaw- and Bike-Tour Guide / Front- and Back Office Employee', 'Mover', 'Volunteer', 'Intern']","['Scienze politiche, sociali e internazionali', 'erasmus', 'Romanistik', 'none', 'Foreign Languages / Intercultural mediation', 'Secondary School Degree', 'Languages and literature', '75/100']"
"['Insegnante di spagnolo', 'Insegnante di spagnolo', 'Insegnante di spagnolo', 'Insegnante di inglese']","['Laurea Magistrale  LM', 'Lingue e letterature straniere', '110L', 'Programma Erasmus', 'Filología hispánica', 'Laurea triennale', 'Lingue e letterature straniere', '105']"
"['Coordinamento Area Lingue', 'translator and social media editor', 'Docente a contratto', 'Traduttore', 'Addetta front-office']","['Laurea Magistrale', 'Letterature Moderne, Comparate e Postcoloniali', 'Master II Livello in Glottodidattica delle Lingue Straniere Moderne', 'Corso di formazione ""Diventare traduttore""', 'Traduzione tecnica (legale, finanziaria, tecnico-industriale), localizzazione siti web, post-editing']"
"['Insegnante di lingua russa', 'Studente tirocinante', 'Studente tirocinante', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Letterature moderne, comparate e postcoloniali', 'Laurea triennale', 'Lingue e letterature straniere', '110 con lode']"
"['Traduttrice freelance EN/DE > IT', 'Insegnante di lingua tedesca', 'Insegnante di lingua tedesca', 'Insegnante di lingua tedesca', 'Tutor di Linguistica tedesca']","['Laurea Magistrale', 'Traduzione Specializzata', '110 e lode', 'Semestre di scambio', 'Laurea triennale', 'Comunicazione Interlinguistica Applicata', '110 e lode']"
"['Supplente di tedesco', 'Assistente turistico', 'Studente Senior']","['1°\xa0livello - Laurea L', 'Lingue e letterature straniere, generale']"
"['Volontaria Servizio civile', 'Insegnante di italiano L2', 'Educatrice', 'Insegnante di Italiano L2', 'Studente tirocinante']","[""Conseguimento dei 24 CFU per l'insegnamento"", 'Corso di formazione online per insegnanti di italiano L2 a migranti', 'Giornata di formazione per insegnanti di italiano L2']"
"[""Docente di traduzione dall'italiano al francese"", 'Freelance Interpreter-Translator', 'freelance', 'Docente di lingue per personale aziendale e per privati | Language teacher (companies & individuals)', 'Docente di inglese per personale aziendale | English teacher for company staff']","['Laurea specialistica in interpretazione (francese, spagnolo)', 'Interpretazione (francese, spagnolo)', 'Mediazione linguistica interculturale', 'Francese, spagnolo, inglese', '100 e lode / 110', 'Maturità linguistica - francese, inglese, spagnolo', 'Liceo linguistico internazionale ad opzione francese', '95/100']"
"['Insegnante di spagnolo nella scuola superiore', 'collaboratrice', 'Tirocinante con laurea triennale', 'Insegnante di italiano', 'Au pair']","['Laurea Magistrale  LM', 'Lingua e cultura italiane per stranieri', 'Master', 'Summer School ""Made in Italy/Made by Italics""', 'redazione e discussione di un elaborato finale', 'Laurea triennale', 'Civiltà e lingue straniere moderne', '101/110']"
"['Addetto ufficio acquisti', 'Traduttore']","['Laurea Magistrale  LM', 'Interpretazione e traduzione', '110L', '1° ciclo -  Laurea L', 'Lingue e letterature straniere, generale', '106/110']"
"['Traslator and Cultural Promoter', 'Assistente insegnante']","['Laurea triennale', 'Lingue e letterature straniere, generale', 'High School Diploma']"
"['barista, cameriere', 'istruttore di sala']","['Laurea Magistrale LM Scienze Politiche', 'Cooperazione iternazionale e tutela dei diritti umani nel Mediterraneo e in Eurasia', '100', 'Lettere', 'Storia contemporanea', '97']"
"['Insegnante di accoglienza turistica', 'Customer Services Agent', 'Personale di terra']","[""Esperto linguista d'area per l'economia"", 'Lingua e letteratura francese e inglese']"
"['Insegnante', 'Redattore freelance', 'Redattore freelance', 'Freelance Musician presso SICA', 'Responsabile Impianto']","['Laurea Magistrale  LM', 'Laurea Triennale', 'Lingue e letterature straniere, generale', 'Attestato di Partecipazione ad un Corso Intensivo', 'Lingua e letteratura tedesca']"
"['Insegnante di italiano', 'Fattorino']","['Lingua e cultura italiana per stranieri', 'Lingua e letteratura italiana', 'Anno di mobilità internazionale progetto Erasmus+', 'Mediazione Linguistica e Interculturale']"
"['Insegnante di lingue', 'Traduttore', 'Addetto alle vendite', 'Assistente insegnante']","['Laurea Magistrale  LM', 'Interpretazione', 'Laurea triennale', 'Mediazione Linguistica Interculturale', '110/110 con Lode', 'Erasmus', 'Traducción e Interpretación - Grado']"
"['Insegnante di lingua italiana', 'Tutor accademico', 'Insegnante di lingua francese']","['Dottorato di ricerca', 'Filologia, letteratura e linguistica', 'Laurea Magistrale  LM', 'Lingua, società e comunicazione', '110/110 e lode', 'Laurea triennale', 'Lingue e letterature straniere', '110/110']"
"['Traduttrice editoriale', 'Insegnante', 'Insegnante', 'IELTS Invigilator', 'Assistente all’insegnamento']","['Laurea Magistrale', 'Lingua e Cultura Italiane per Stranieri', 'Studente internazionale', 'Interpretazione e traduzione', 'Laurea Triennale', 'Mediazione Linguistica Interculturale', '110 e Lode']"
"['Redattrice articolista', 'Docente di lingua russa', 'Correttore di bozze', 'Agenzia di viaggi']","['Laurea Magistrale  LM', 'Lingue, culture e traduzione letteraria', '110/110 e lode', 'Laurea triennale', 'Lingue e letterature straniere', '108/110']"
"['Insegnante italiano', 'Receptionist', 'Receptionist', 'Tutor di inglese seconda lingua', 'Animatore']","['Laurea Magistrale  LM', 'Lingua e cultura italiane per stranieri', 'Lingue e Letterature Straniere', 'Scienze della Mediazione Linguistica', '103']"
"['Traduttrice IT>ES', 'Back office commerciale estero']","['Laurea Magistrale', 'Lingue per la Comunicazione e la Cooperazione Internazionale (LM-38)', 'Laurea Triennale', ""Lingue Moderne - Lingue per l'Intermediazione Turistica e d'Impresa (L-11)"", 'Diploma Istituto Tecnico e Professionale', 'Perito in Amministrazione, Finanza e Marketing', '97/100']"
"['Traduttrice', 'Nordic Lifestyle Magazine', 'Peer Reviewer/Esperto linguistico/Responsabile comunicazione e marketing', 'Freelance', 'Traduttrice']","['Laurea magistrale', 'Lingua e Cultura Italiane per Stranieri', '110L/110', 'Summer School', 'Lingua e Cultura Finlandese', 'Corso IV', 'Laurea triennale', 'Laurea in Lingue e Letterature Straniere', '109/110']"
['Freelance content creator'],"[""Bachelor's degree"", 'Scienze politiche, sociali e internazionali', '108/110', 'Erasmus+', 'High School attendance']"
['Docente assistente'],"['Laurea Magistrale', 'Letterature Moderne, Comparate e Postcoloniali', 'Laurea Triennale', ""Lingue, Letterature e Culture dell'Europa e delle Americhe"", '110L', 'Erasmus+']"
"['Insegnante di italiano per stranieri', 'Commis di sala', 'Insegnante di lingue', 'Lettrice di Italiano', 'Redattrice di prodotti editoriali']","['Laurea Magistrale', 'Letterature moderne, comparate e postcoloniali', '110/110L', 'Erasmus Placement', 'Erasmus Plus']"
"[""Docente di lingua inglese presso Istituto d'Istruzione Superiore Francesco Alberghetti"", 'Articolista freelance', 'Insegnante di inglese privato', ""Educatrice presso Scuola dell'Infanzia e Segreteria - Servizio Civile Nazionale"", 'Collaboratrice alla didattica']","['Laurea Magistrale  LM', 'Letteratura comparata', '110L/110', 'Erasmus Programme', 'Erasmus programme']"
"['Insegnante di italiano L2', 'Docente di spagnolo', 'Maschera', 'Docente', 'Receptionist']","['Laurea Magistrale  LM', 'Lingua e cultura italiane per stranieri', '110/110 con lode', 'Laurea triennale', 'Lingue e culture straniere', '110/110 con lode', 'Erasmus', 'Lingue e letterature straniere, generale']"
"['Professoressa di Italiano L2', 'Ricamatrice e commessa', 'Universidade de Coimbra']","['Laurea Magistrale  LM', 'Lingua e Cultura Italiane per stranieri', 'Laurea triennale', 'Lingue e letterature straniere, generale', '110L']"
"['English Foreign Language Teacher', 'English Foreign Language Teacher', 'EFL Teacher', 'English Foreign Language Teacher']","['Laurea Magistrale  LM', 'Lingua e letteratura italiana', '102/110', 'Laurea triennale', 'Lingue, letterature e linguistica straniere']"
"['Liceo Linguistico Torricelli', 'Insegnante di lingua Inglese, Spagnolo e Tedesco', 'cantante attrice e ballerina', 'Professoressa di lingua Spagnola e Inglese', 'Insegnante di Lingua Inglese']","['Lingue e Letterature straniere moderne', '106/110', 'Laurea Triennale', 'Lingue e letterature straniere moderne']"
"['Docente di Tedesco', 'Docente di Francese', 'Insegnante e Traduttrice', 'Attrice e Insegnante', 'Attrice e Vice-Presidente']","[""Acquisizione 24 CFU per l'Insegnamento"", 'Corso Online - Uso didattico di LIM e Tablet nel contesto scolastico', 'Laurea Magistrale LM', 'Letterature Moderne, Comparate e Postcoloniali']"
"['Informatore ambientale', 'Verificatore titoli di viaggio', 'Insegnante di italiano e tedesco', 'Servizio Civile Nazionale', 'Asssitente di lingua']","['Laurea Magistrale  LM', 'Lingue e letterature straniere, generale']"
"['Docente lingua inglese', 'Formatrice Esterna', 'Formatrice Esterna']","['Laurea triennale', 'Lingue, letterature e linguistica straniere', 'Laura Magistrale in Lingue e Letterature Moderne e Traduzione Interculturale', 'Lingue, letterature e linguistica straniere', '105/110', 'Master 1 livello: Didattica della Lingua Italiana come Lingua Seconda L2']"
['Impiegata amministrativa commerciale'],"['Laurea Magistrale Direzione Aziendale', 'Economia aziendale/manageriale', ""Laurea in Scienze dell'Economia e della Gestione Aziendale"", 'Economia aziendale/manageriale', '110 e lode']"
"['Direttore Generale e Commerciale', 'Direttore Commerciale e Generale', 'Direttore Commerciale Italia', 'Direzione Vendite GDO', 'Marketing Manager Private Label', 'Category Manager', 'Junior Buyer']","['laurea', 'scienze politiche']"
"['Liceo Linguistico Internazionale ""C. Boldrini""', 'Insegnante di lingue', 'Formazione', 'Assistente CLA', 'Impiegato in ufficio Master']","['Laurea Magistrale  LM', 'Lingua e cultura italiane per stranieri', '103/110', 'Selezione e formazione delle risorse umane', 'Erasmus +', 'Lingue, letterature e linguistica straniere']"
"['Ausiliario alle vendite', 'Food runner', 'Ausiliario alle vendite']","['Laurea Magistrale  LM', 'Statistica, economia e impresa', ""Laurea triennale in Scienze dell'Economia e della Gestione Aziendale"", 'Management e Marketing', '93/110', 'Diploma di Liceo scientifico']"
"['Consulente Personal Banking', 'Helpdesk', 'Internship']","[""Laurea Magistrale  LM in Scienze dell'Economia e della Gestione Aziendale"", 'Direzione Aziendale', '107/110', 'Laurea L in Scienze Economiche', 'Economia mercati e istituzioni']"
"['Responsabile vendite', 'Responsabile supporto vendite e marketing']","['Laurea magistrale LM in Economia e Commercio', '103/110', 'Laurea triennale in Economia e commercio', '102/110', 'Ragioniere e perito commerciale', '100/100']"
"['Shop assistant', 'Studente tirocinante', 'Studente laureato', 'Shop assistant', 'Shop assistant']","['Laurea Magistrale Economia e Commercio', 'Economia e commercio', ""Laurea triennale in Scienze dell'Economia e della Gestione Aziendale"", ""Econonia dell'impresa""]"
['Business Analyst'],"['Laurea Magistrale  LM', 'Statistica economia e impresa', 'Erasmus+', 'Business Administration and Management', 'Laurea triennale', 'Economia aziendale/manageriale']"
"['Assistente contabile', 'Barista']","['Laurea Magistrale  LM', 'Economia e Professione', ""Laurea in Scienze dell'Economia e della Gestione Aziendale"", 'Economia aziendale/manageriale', 'Diploma scientifico', 'PNI (National IT Plan)']"
"['Banca di Bologna', 'Marketing Manager', 'Imprenditore/Imprenditrice', 'Stager', 'Beauty consultant e merchandiser']","['Dottore magistrale', 'Direzione aziendale', '106', 'Diploma', 'Studi scientifici', 'Dottore in Economia Aziendale']"
"['Banca di Bologna', 'Impiegata settore privati', 'Stagista auditor', 'tirocinante curriculare']","['Laurea Magistrale  LM', 'Economia aziendale/manageriale', '108/110', ""Laurea triennale in Scienze dell'Economia e della Gestione Aziendale"", 'Economia aziendale']"
"['Business Analyst', 'Startup Unit Business Analyst']","[""Laurea in Scienze dell'Economia e della Gestione Aziendale"", 'direzione aziendale', '110 L', ""Laurea triennale in Scienze dell'Economia e della Gestione Aziendale"", 'Economia Aziendale', '110L', 'Diploma']"
['organizzazione dei sistemi informativi aziendali'],"['scienze politiche', 'sociologia e ricerca sociale', 'Laurea in scienze politiche']"
['Junior Consultant Financial Risk Management'],"['Laurea Magistrale in Finanza, Intermediari e Mercati', 'Singole attività formative', ""Laurea triennale in Economia dell'impresa"", 'Laurea Triennale in Scienze Politiche, Sociali e Internazionali', ""curriculum scienze dell'organizzazione"", '104/110']"
"['Praticante dottore commercialista', 'Studente assistente bibliotecario', 'Studente assistente bibliotecario', 'Stagista']","[""Laurea Magistrale  LM in Scienze dell'Economia e della Gestione Aziendale"", 'Economia aziendale/manageriale', ""Laurea in Scienze dell'Economia e della Gestione Aziendale"", 'Economia aziendale/manageriale', 'Diploma Istituto Tecnico e Professionale', 'Sistemi informativi aziendali']"
['Analista statistico'],"['Laurea Magistrale  LM', 'Scienze Statistiche, Finanziarie e Attuariali', 'Laurea triennale', 'Scienze Statistiche-curriculum economia e impresa', '110/110 cum laude', 'diploma', 'liceo scientifico']"
"['Supporto nelle attività di analisi dei dati, nelle elaborazioni e nella stesura dei report']","['Laurea Magistrale  LM', 'Economia e Politica Economica', 'Erasmus+', 'Laurea triennale', 'Economia Mercati e Istituzioni', '110 e lode\\110']"
"['JEParma', 'Partecipazione ad una ricerca universitaria in ambito economico']","['Laurea Magistrale  LM', 'Statistica, economia e impresa', 'Laurea breve in Scienze Economiche', 'Marketing', '109/110', 'Liceo scientifico']"
['Addetto amministrativo'],"[""Master's degree"", 'Business Statistics', ""bachelor's degree"", 'Economia curriculum Statistico-Quantitativo', '105/110', 'Studi generali', '91/100']"
"['Addetto alle attività promozionali', 'Addetto Back Office']","['Laurea Magistrale  LM', 'Economia delle risorse naturali', 'Laurea breve in Scienze Economiche', 'Economia', '103/110']"
"['Junior data analyst', 'Office Worker']","['Laurea Magistrale  LM', 'Economia e politica economica', '105', 'Laurea triennale', 'Economia', '102']"
"['Data analyst', 'Stagista assistente amministrativo', 'Stagista contabilità']","['Laurea triennale', 'Economia e impresa', 'Diploma', 'Relazioni Internazione per il Marketing', '85', 'Statistica economia e impresa']"
"['Senior Area Manager', 'Sales District Manager']","['Laurea economia', 'Economia aziendale/manageriale']"
"['Ricercatore confermato.', 'Ricercatore confermato']","['Economia e commercio; Scienze politiche; Storia moderna; Lingue e letterature straniere.', 'Matematica finanziaria e attuariale.', 'Economia e commercio; Scienze politiche; Storia moderna; Lingue e letterature straniere.']"
"['Analista del credito', 'Spedizione e ricezione', 'Studente tirocinante']","[""Laurea Magistrale  LM in Scienze dell'Economia e della Gestione Aziendale"", 'Economia e Commercio', '110 e lode', ""Laurea Magistrale  LM in Scienze dell'Economia e della Gestione Aziendale"", 'economia e commercio', '110 e lode', ""Laurea triennale in Scienze dell'Economia e della Gestione Aziendale"", 'economia e commercio', '97']"
